Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Mishra,1,10.0,28,2,2.80,14.00,30.00,0,0,2/28,0,1,42
A Nehra,2,19.0,91,2,4.79,45.50,57.00,0,0,2/33,10,1,65
AB Dinda,3,24.1,134,3,5.54,44.67,48.33,0,0,2/47,11,2,75
AT Rayudu,1,0.1,0,0,0.00,0,0,0,0,1/1000,0,0,1
B Kumar,10,79.4,330,14,4.14,23.57,34.14,0,0,3/15,32,5,302
Harbhajan Singh,2,18.0,90,4,5.00,22.50,27.00,0,0,2/43,6,1,49
HH Pandya,6,41.5,215,8,5.14,26.88,31.38,0,0,2/34,24,0,129
I Sharma,4,36.2,149,9,4.10,16.56,24.22,0,0,3/34,16,0,135
IK Pathan,1,10.0,69,1,6.90,69.00,60.00,0,0,1/69,8,0,23
JJ Bumrah,7,51.1,232,7,4.53,33.14,43.86,0,0,2/19,28,0,191
KM Jadhav,3,15.0,70,4,4.67,17.50,22.50,0,0,3/23,2,2,41
Kuldeep Yadav,5,45.0,170,12,3.78,14.17,22.50,0,1,5/25,7,4,153
MM Patel,1,10.0,40,2,4.00,20.00,30.00,0,0,2/40,5,1,43
MM Sharma,1,9.0,35,2,3.89,17.50,27.00,0,0,2/35,2,0,34
Mohammed Shami,3,28.0,107,5,3.82,21.40,33.60,1,0,4/35,12,2,120
Mohammed Siraj,2,13.0,73,2,5.62,36.50,39.00,0,0,2/50,10,0,42
P Kumar,2,20.0,130,5,6.50,26.00,24.00,0,0,3/53,13,3,59
R Ashwin,8,75.4,376,10,4.97,37.60,45.40,0,0,3/44,24,6,226
RA Jadeja,11,97.5,474,12,4.84,39.50,48.92,0,0,3/41,34,9,297
RG Sharma,1,3.0,19,0,6.33,0,0,0,0,0/19,1,0,4
SK Raina,4,7.3,57,1,7.60,57.00,45.00,0,0,1/13,3,2,13
SN Thakur,2,6.0,28,1,4.67,28.00,36.00,0,0,1/16,3,0,20
SR Tendulkar,1,1.4,12,0,7.20,0,0,0,0,0/12,1,0,2
UT Yadav,3,24.2,109,5,4.48,21.80,29.20,0,0,3/30,14,0,90
V Kohli,2,4.5,32,0,6.62,0,0,0,0,0/11,2,0,7
V Sehwag,1,3.0,19,0,6.33,0,0,0,0,0/19,2,0,5
V Shankar,1,5.2,22,2,4.12,11.00,16.00,0,0,2/22,2,0,19
YK Pathan,1,5.0,30,0,6.00,0,0,0,0,0/30,0,1,7
YS Chahal,3,23.0,133,2,5.78,66.50,69.00,0,0,2/46,4,4,55
Yuvraj Singh,3,16.0,100,2,6.25,50.00,48.00,0,0,2/57,8,2,39
Z Khan,2,19.2,99,4,5.12,24.75,29.00,0,0,2/41,9,0,63
